<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,<DAILYGROWTH>
20201223,Saina.Company,192000.0,196000.0,186010.0,190464.0,22391756359,116762,515,D,189235.0,187100.0,1229.0
20201222,Saina.Company,190100.0,198538.0,188733.0,189235.0,109251459212,577333,745,D,198666.0,190000.0,-9431.0
20201221,Saina.Company,197000.0,204698.0,195104.0,198666.0,34229269659,174543,443,D,205372.0,195104.0,-6706.0
20201220,Saina.Company,213950.0,213950.0,197800.0,205372.0,15615243036,77638,380,D,207387.0,201043.0,-2015.0
20201219,Saina.Company,207360.0,214977.0,200600.0,207387.0,13034412053,62827,352,D,207360.0,207496.0,27.0
20201216,Saina.Company,200044.0,217854.0,200044.0,207360.0,26205283133,128165,468,D,210572.0,202201.0,-3212.0
20201215,Saina.Company,203171.0,206285.0,203171.0,210572.0,15247361652,75045,290,D,213864.0,203171.0,-3292.0
20201214,Saina.Company,225999.0,225999.0,204766.0,213864.0,20755694940,98192,611,D,215542.0,204800.0,-1678.0
20201213,Saina.Company,210000.0,216779.0,201313.0,215542.0,54872328692,254578,612,D,206457.0,216776.0,9085.0
20201212,Saina.Company,209560.0,215400.0,201300.0,206457.0,17189713910,82292,444,D,205218.0,206800.0,1239.0
20201209,Saina.Company,207000.0,209355.0,198000.0,205218.0,42972758989,207754,479,D,199386.0,209355.0,5832.0
20201208,Saina.Company,206000.0,206000.0,199000.0,199386.0,10778048428,53105,363,D,198494.0,204850.0,892.0
20201207,Saina.Company,199000.0,202488.0,192850.0,198494.0,38618711704,192476,513,D,192846.0,201200.0,5648.0
20201206,Saina.Company,184000.0,198129.0,184000.0,192846.0,31537934353,161293,522,D,188695.0,196900.0,4151.0
20201205,Saina.Company,180230.0,192800.0,180230.0,188695.0,34079323432,180381,437,D,188199.0,190220.0,496.0
20201202,Saina.Company,190000.0,190000.0,182500.0,188199.0,10909564200,58868,331,D,189017.0,185250.0,-818.0
20201201,Saina.Company,190000.0,192000.0,186100.0,189017.0,11351202339,60001,315,D,188969.0,187300.0,48.0
20201130,Saina.Company,196498.0,196498.0,190000.0,188969.0,10112888609,52732,279,D,188273.0,191500.0,696.0
20201129,Saina.Company,183400.0,196000.0,183400.0,188273.0,26057422023,138095,531,D,187820.0,192510.0,453.0
20201128,Saina.Company,188000.0,190810.0,180000.0,187820.0,12739915175,68189,529,D,188161.0,186600.0,-341.0
20201125,Saina.Company,189000.0,195000.0,186355.0,188161.0,19199490214,100294,483,D,186353.0,190810.0,1808.0
20201124,Saina.Company,187318.0,191126.0,180000.0,186353.0,42019891240,224148,510,D,182025.0,191126.0,4328.0
20201123,Saina.Company,180000.0,186663.0,172700.0,182025.0,50960730339,279923,651,D,177775.0,186663.0,4250.0
20201122,Saina.Company,181880.0,181900.0,169601.0,177775.0,14334705827,81338,311,D,178399.0,178399.0,-624.0
20201121,Saina.Company,186250.0,186250.0,174000.0,178399.0,40578735969,227180,478,D,177479.0,180000.0,920.0
