,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
877,2015-11-01,10000.0,10000.0,10000.0,10000.0,1032930000,103293,7,10000.0,10000.0,1394-08-10
876,2015-11-02,10000.0,10000.0,10000.0,10000.0,2592500000,259250,6,10000.0,10000.0,1394-08-11
875,2015-11-03,10000.0,10000.0,10000.0,10000.0,5653040000,565304,16,10000.0,10000.0,1394-08-12
874,2015-11-04,10000.0,10000.0,10000.0,10000.0,30721530000,3072153,113,10000.0,10000.0,1394-08-13
873,2016-02-15,13510.0,13510.0,13510.0,13510.0,72683800,5380,16,10000.0,13510.0,1394-11-26
872,2016-02-16,13500.0,13511.0,13500.0,13507.0,932203713,69015,8,13510.0,13511.0,1394-11-27
871,2016-02-17,13502.0,13502.0,13502.0,13502.0,27004000,2000,3,13507.0,13502.0,1394-11-28
870,2016-02-20,13502.0,13502.0,13501.0,13501.0,202519000,15000,2,13502.0,13501.0,1394-12-01
869,2016-02-23,13500.0,13500.0,13500.0,13500.0,13635000,1010,1,13501.0,13500.0,1394-12-04
868,2016-02-27,13500.0,13501.0,13500.0,13500.0,276751000,20500,5,13500.0,13500.0,1394-12-08
867,2016-02-29,13500.0,13500.0,13500.0,13500.0,41175000,3050,4,13500.0,13500.0,1394-12-10
866,2016-03-01,13500.0,13500.0,13500.0,13500.0,6750000,500,1,13500.0,13500.0,1394-12-11
865,2016-03-06,13500.0,13500.0,13500.0,13500.0,81000000,6000,2,13500.0,13500.0,1394-12-16
864,2016-03-08,13500.0,13500.0,13500.0,13500.0,72900000,5400,2,13500.0,13500.0,1394-12-18
863,2016-03-12,14000.0,14000.0,13904.0,13924.0,874960000,62840,4,13500.0,13904.0,1394-12-22
862,2016-03-14,13900.0,14620.0,13900.0,14560.0,104539600,7180,4,13924.0,14620.0,1394-12-24
861,2016-03-16,15190.0,15190.0,15190.0,15190.0,26582500000,1750000,18,14560.0,15190.0,1394-12-26
860,2016-03-26,15070.0,15111.0,15070.0,15085.0,266345905,17656,4,15190.0,15070.0,1395-01-07
859,2016-03-27,14855.0,14855.0,14855.0,14855.0,44565000,3000,1,15085.0,14855.0,1395-01-08
858,2016-03-29,14621.0,14621.0,14621.0,14621.0,731050000,50000,1,14855.0,14621.0,1395-01-10
857,2016-03-30,15000.0,15468.0,15000.0,15278.0,213897254,14000,5,14621.0,15468.0,1395-01-11
856,2016-04-02,15718.0,15718.0,15705.0,15717.0,25021860,1592,2,15278.0,15705.0,1395-01-14
855,2016-04-03,15705.0,15898.0,15705.0,15726.0,17612760,1120,2,15717.0,15898.0,1395-01-15
854,2016-04-04,15726.0,16190.0,15726.0,15729.0,27703112700,1761300,22,15726.0,16160.0,1395-01-16
853,2016-04-05,16491.0,16514.0,16476.0,16502.0,450627279,27307,12,15729.0,16497.0,1395-01-17
852,2016-04-06,16477.0,16477.0,15905.0,16204.0,2671047130,164840,16,16502.0,15905.0,1395-01-18
851,2016-04-09,16000.0,16000.0,16000.0,16000.0,9600000,600,1,16204.0,16000.0,1395-01-21
850,2016-04-11,16261.0,16261.0,15804.0,16039.0,962358250,60000,11,16000.0,15804.0,1395-01-23
849,2016-04-13,15800.0,15800.0,15596.0,15651.0,392046592,25050,4,16039.0,15596.0,1395-01-25
848,2016-04-16,15456.0,15493.0,15456.0,15469.0,32484300,2100,3,15651.0,15479.0,1395-01-28
847,2016-04-18,15368.0,15685.0,15136.0,15662.0,214894140,13721,3,15469.0,15685.0,1395-01-30
846,2016-04-20,16361.0,16361.0,15937.0,16233.0,595676121,36696,6,15662.0,15997.0,1395-02-01
845,2016-04-23,15557.0,15557.0,15098.0,15175.0,35736399,2355,6,16233.0,15104.0,1395-02-04
844,2016-04-30,14801.0,14801.0,14801.0,14801.0,2960200,200,1,15175.0,14801.0,1395-02-11
843,2016-05-07,14700.0,14700.0,14294.0,14420.0,721204668,50014,4,14801.0,14294.0,1395-02-18
842,2016-05-08,14382.0,14382.0,14382.0,14382.0,2286738,159,1,14420.0,14382.0,1395-02-19
841,2016-05-10,14287.0,14287.0,14200.0,14200.0,5495495,387,3,14382.0,14200.0,1395-02-21
840,2016-05-11,13976.0,13980.0,13976.0,13980.0,13993976,1001,2,14200.0,13980.0,1395-02-22
839,2016-05-15,13827.0,13827.0,13827.0,13827.0,16592400,1200,1,13980.0,13827.0,1395-02-26
838,2016-05-16,13820.0,13820.0,13820.0,13820.0,2252660,163,1,13827.0,13820.0,1395-02-27
837,2016-05-17,13741.0,13741.0,13741.0,13741.0,467194000,34000,1,13820.0,13741.0,1395-02-28
836,2016-05-18,13739.0,13756.0,13726.0,13751.0,19031729,1384,3,13741.0,13726.0,1395-02-29
835,2016-05-21,14242.0,14500.0,14229.0,14240.0,4300255000,301990,8,13751.0,14500.0,1395-03-01
834,2016-05-23,14250.0,14250.0,14180.0,14192.0,42575000,3000,2,14240.0,14180.0,1395-03-03
833,2016-05-24,14540.0,14540.0,14540.0,14540.0,2908000,200,1,14192.0,14540.0,1395-03-04
832,2016-05-28,14600.0,14600.0,14000.0,14304.0,745932000,52148,5,14540.0,14420.0,1395-03-08
831,2016-05-30,14300.0,14300.0,14300.0,14300.0,14300,1,1,14304.0,14300.0,1395-03-10
830,2016-05-31,14444.0,14444.0,14444.0,14444.0,722200,50,1,14300.0,14444.0,1395-03-11
829,2016-06-01,14500.0,14500.0,14491.0,14494.0,16595750,1145,2,14444.0,14491.0,1395-03-12
828,2016-06-05,14700.0,14785.0,14700.0,14773.0,14935735,1011,2,14494.0,14785.0,1395-03-16
827,2016-06-07,14600.0,14600.0,14260.0,14597.0,1474545200,101020,3,14773.0,14260.0,1395-03-18
826,2016-06-08,14370.0,14370.0,14370.0,14370.0,179625000,12500,1,14597.0,14370.0,1395-03-19
825,2016-06-18,14123.0,14237.0,14123.0,14237.0,4285223,301,2,14370.0,14237.0,1395-03-29
824,2016-06-19,14400.0,14400.0,14150.0,14331.0,8927950,623,2,14237.0,14150.0,1395-03-30
823,2016-06-20,14100.0,14100.0,14100.0,14100.0,14255100,1011,1,14331.0,14100.0,1395-03-31
822,2016-06-21,14300.0,14300.0,14300.0,14300.0,96324800,6736,3,14100.0,14300.0,1395-04-01
821,2016-06-26,14300.0,14300.0,14300.0,14300.0,35750000,2500,1,14300.0,14300.0,1395-04-06
820,2016-06-29,14500.0,14500.0,14500.0,14500.0,8714500,601,2,14300.0,14500.0,1395-04-09
819,2016-07-02,14400.0,14400.0,14400.0,14400.0,1454400,101,1,14500.0,14400.0,1395-04-12
818,2016-07-05,14400.0,14400.0,14200.0,14300.0,723207200,50573,3,14400.0,14200.0,1395-04-15
817,2016-07-09,14020.0,14020.0,14020.0,14020.0,14020,1,1,14300.0,14020.0,1395-04-19
816,2016-07-11,14440.0,14440.0,14440.0,14440.0,3176800,220,2,14020.0,14440.0,1395-04-21
815,2016-07-16,13800.0,13800.0,13800.0,13800.0,1104000,80,1,14440.0,13800.0,1395-04-26
814,2016-07-18,13880.0,13880.0,13880.0,13880.0,96396600,6945,2,13800.0,13880.0,1395-04-28
813,2016-07-19,13670.0,13680.0,13670.0,13675.0,1367500000,100000,11,13880.0,13680.0,1395-04-29
812,2016-07-20,13810.0,13810.0,13810.0,13810.0,483350000,35000,6,13675.0,13810.0,1395-04-30
811,2016-08-02,13900.0,13900.0,13900.0,13900.0,139000000,10000,1,13810.0,13900.0,1395-05-12
810,2016-08-08,13801.0,13801.0,13800.0,13800.0,69000200,5000,2,13900.0,13800.0,1395-05-18
809,2016-08-10,14200.0,14200.0,14200.0,14200.0,3763000,265,1,13800.0,14200.0,1395-05-20
808,2016-08-29,14145.0,14145.0,14145.0,14145.0,21217500,1500,2,14200.0,14145.0,1395-06-08
807,2016-08-31,14000.0,14000.0,14000.0,14000.0,185024000,13216,2,14145.0,14000.0,1395-06-10
806,2016-09-05,14000.0,14000.0,14000.0,14000.0,1400000,100,1,14000.0,14000.0,1395-06-15
805,2016-09-19,14000.0,14000.0,14000.0,14000.0,4942000,353,1,14000.0,14000.0,1395-06-29
804,2016-09-26,14000.0,14000.0,14000.0,14000.0,14000000,1000,1,14000.0,14000.0,1395-07-05
803,2016-10-02,14000.0,14000.0,14000.0,14000.0,140000,10,1,14000.0,14000.0,1395-07-11
802,2016-10-18,13700.0,13700.0,13700.0,13700.0,2055000,150,1,14000.0,13700.0,1395-07-27
801,2016-10-19,13700.0,13700.0,13700.0,13700.0,27400,2,1,13700.0,13700.0,1395-07-28
800,2016-11-09,13800.0,13800.0,13400.0,13406.0,88480000,6600,3,13700.0,13400.0,1395-08-19
799,2016-11-12,13400.0,13400.0,13400.0,13400.0,67000,5,1,13406.0,13400.0,1395-08-22
798,2016-11-15,13400.0,13400.0,13400.0,13400.0,134000000,10000,1,13400.0,13400.0,1395-08-25
797,2016-11-19,13800.0,13800.0,13800.0,13800.0,1380000,100,1,13400.0,13800.0,1395-08-29
796,2016-11-21,13800.0,13800.0,13800.0,13800.0,24840000,1800,2,13800.0,13800.0,1395-09-01
795,2016-11-22,13800.0,13800.0,13800.0,13800.0,18906000,1370,1,13800.0,13800.0,1395-09-02
794,2016-11-23,13650.0,13650.0,13400.0,13400.0,671324050,50097,3,13800.0,13400.0,1395-09-03
793,2016-11-27,13450.0,13450.0,13450.0,13450.0,2690000,200,1,13400.0,13450.0,1395-09-07
792,2016-12-04,13190.0,13190.0,13110.0,13130.0,157560,12,9,13450.0,13110.0,1395-09-14
791,2016-12-05,13135.0,13135.0,12900.0,12934.0,90535000,7000,2,13130.0,12900.0,1395-09-15
790,2016-12-24,13080.0,13080.0,13080.0,13080.0,1308000,100,1,12934.0,13080.0,1395-10-04
789,2017-01-09,12701.0,12701.0,12701.0,12701.0,190515000,15000,3,13080.0,12701.0,1395-10-20
788,2017-01-14,12828.0,12828.0,12700.0,12704.0,39383184,3100,3,12701.0,12700.0,1395-10-25
787,2017-01-30,12600.0,12600.0,12600.0,12600.0,1260000,100,1,12704.0,12600.0,1395-11-11
786,2017-01-31,12550.0,12550.0,12550.0,12550.0,112950,9,1,12600.0,12550.0,1395-11-12
785,2017-02-01,12600.0,12600.0,12600.0,12600.0,1008000,80,1,12550.0,12600.0,1395-11-13
784,2017-02-04,12850.0,12850.0,12850.0,12850.0,4690250,365,2,12600.0,12850.0,1395-11-16
783,2017-02-08,12650.0,12650.0,12650.0,12650.0,1012000,80,1,12850.0,12650.0,1395-11-20
782,2017-02-13,12530.0,12530.0,12530.0,12530.0,1002400,80,1,12650.0,12530.0,1395-11-25
781,2017-02-15,12500.0,12500.0,12500.0,12500.0,1000000,80,1,12530.0,12500.0,1395-11-27
780,2017-03-06,12450.0,12450.0,12450.0,12450.0,1008450,81,1,12500.0,12450.0,1395-12-16
779,2017-03-13,12210.0,12210.0,12210.0,12210.0,73260,6,1,12450.0,12210.0,1395-12-23
778,2017-03-26,12450.0,12450.0,12450.0,12450.0,22534500,1810,1,12210.0,12450.0,1396-01-06
777,2017-03-28,12780.0,12794.0,12780.0,12784.0,63921238,5000,2,12450.0,12794.0,1396-01-08
776,2017-03-29,12476.0,12476.0,12476.0,12476.0,62380000,5000,1,12784.0,12476.0,1396-01-09
775,2017-04-16,12550.0,12550.0,12550.0,12550.0,62750000,5000,1,12476.0,12550.0,1396-01-27
774,2017-05-14,12884.0,12884.0,12884.0,12884.0,17651080,1370,1,12550.0,12884.0,1396-02-24
773,2017-07-19,13216.0,13216.0,13216.0,13216.0,3964800,300,1,12884.0,13216.0,1396-04-28
772,2017-07-30,13395.0,13395.0,13395.0,13395.0,133950000,10000,1,13216.0,13395.0,1396-05-08
771,2017-08-01,13444.0,13444.0,13444.0,13444.0,4328968,322,1,13395.0,13444.0,1396-05-10
770,2017-08-02,13438.0,13438.0,13438.0,13438.0,134380,10,1,13444.0,13438.0,1396-05-11
769,2017-08-09,13528.0,13528.0,13528.0,13528.0,135280000,10000,1,13438.0,13528.0,1396-05-18
768,2017-08-13,13515.0,13515.0,13515.0,13515.0,135150,10,1,13528.0,13515.0,1396-05-22
767,2017-08-22,13768.0,13768.0,13768.0,13768.0,10601360000,770000,31,13515.0,13768.0,1396-05-31
