,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
871,2015-12-07,3101.0,3101.0,3101.0,3101.0,3101000000,1000000,2,982.0,3101.0,1394-09-16
870,2016-10-02,3000.0,3000.0,3000.0,3000.0,30000000,10000,1,3101.0,3000.0,1395-07-11
869,2017-01-16,2920.0,2920.0,2900.0,2908.0,3199000,1100,3,2900.0,2900.0,1395-10-27
868,2017-01-17,2900.0,2900.0,2900.0,2900.0,290000,100,1,2908.0,2900.0,1395-10-28
867,2017-02-01,2900.0,2900.0,2900.0,2900.0,205900,71,1,2900.0,2900.0,1395-11-13
866,2017-02-05,3000.0,3000.0,3000.0,3000.0,3300000,1100,1,2900.0,3000.0,1395-11-17
865,2017-02-11,3100.0,3100.0,3100.0,3100.0,3100000,1000,1,3000.0,3100.0,1395-11-23
864,2017-02-27,3100.0,3100.0,3100.0,3100.0,3546400,1144,1,3100.0,3100.0,1395-12-09
863,2017-04-10,3100.0,3100.0,3100.0,3100.0,155000,50,1,3100.0,3100.0,1396-01-21
862,2017-04-15,3000.0,3000.0,3000.0,3000.0,756000,252,1,3100.0,3000.0,1396-01-26
861,2017-04-22,3000.0,3000.0,3000.0,3000.0,270000,90,1,3000.0,3000.0,1396-02-02
860,2017-06-06,3000.0,3000.0,3000.0,3000.0,756000,252,1,3000.0,3000.0,1396-03-16
859,2017-07-19,3300.0,3300.0,3300.0,3300.0,20852700,6319,1,3000.0,3300.0,1396-04-28
858,2017-07-24,3630.0,3630.0,3630.0,3630.0,36329040,10008,3,3300.0,3630.0,1396-05-02
857,2017-08-02,3993.0,3993.0,3993.0,3993.0,1135581249,284393,16,3630.0,3993.0,1396-05-11
856,2017-08-06,4392.0,4392.0,4392.0,4392.0,71589600,16300,7,3993.0,4392.0,1396-05-15
855,2017-08-07,4831.0,4831.0,4831.0,4831.0,107731300,22300,7,4392.0,4831.0,1396-05-16
854,2017-08-08,5314.0,5314.0,5313.0,5314.0,2122016994,399328,59,4831.0,5314.0,1396-05-17
853,2017-08-09,5690.0,5690.0,4783.0,4892.0,1137604550,232556,69,5314.0,5444.0,1396-05-18
852,2017-08-12,5374.0,5374.0,4611.0,4673.0,309577303,66251,23,4892.0,4750.0,1396-05-21
851,2017-08-13,4990.0,5140.0,4888.0,5061.0,995596834,196705,43,4673.0,5140.0,1396-05-22
850,2017-08-14,5300.0,5567.0,5300.0,5557.0,911487161,164011,57,5061.0,5549.0,1396-05-23
849,2017-08-15,6000.0,6000.0,5002.0,5061.0,1080814939,213565,84,5557.0,5002.0,1396-05-24
848,2017-08-16,5300.0,5450.0,4750.0,5039.0,771889635,153192,87,5061.0,4756.0,1396-05-25
847,2017-08-19,5290.0,5290.0,4551.0,4698.0,622576318,132517,50,5039.0,4572.0,1396-05-28
846,2017-08-20,4571.0,4571.0,4229.0,4241.0,405179222,95547,39,4698.0,4229.0,1396-05-29
845,2017-08-21,4000.0,4290.0,3999.0,4001.0,1933606172,483318,143,4241.0,4016.0,1396-05-30
844,2017-08-22,4100.0,4401.0,4100.0,4352.0,481385160,110624,41,4001.0,4401.0,1396-05-31
843,2017-08-23,4787.0,4787.0,4402.0,4668.0,2074547813,444464,119,4352.0,4484.0,1396-06-01
842,2017-08-26,4650.0,4684.0,4202.0,4262.0,439220783,103062,70,4668.0,4350.0,1396-06-04
841,2017-08-27,4470.0,4688.0,4365.0,4579.0,2087980918,455968,87,4262.0,4659.0,1396-06-05
840,2017-08-28,4999.0,4999.0,4599.0,4638.0,15713942,3388,8,4579.0,4599.0,1396-06-06
839,2017-08-29,4700.0,4899.0,4300.0,4406.0,382388319,86792,43,4638.0,4550.0,1396-06-07
838,2017-08-30,4285.0,4565.0,4285.0,4532.0,666399828,147049,43,4406.0,4500.0,1396-06-08
837,2017-09-02,4740.0,4802.0,4451.0,4526.0,1216764410,268836,49,4532.0,4499.0,1396-06-11
836,2017-09-03,4649.0,4790.0,4450.0,4656.0,1926830744,413832,76,4526.0,4450.0,1396-06-12
835,2017-09-04,4450.0,4549.0,4300.0,4478.0,209562892,46795,19,4656.0,4548.0,1396-06-13
834,2017-09-05,4654.0,4654.0,4250.0,4373.0,431139091,98593,30,4478.0,4390.0,1396-06-14
833,2017-09-06,4145.0,4470.0,4145.0,4351.0,320964340,73760,37,4373.0,4300.0,1396-06-15
832,2017-09-10,4450.0,4480.0,4450.0,4452.0,139433000,31320,15,4351.0,4480.0,1396-06-19
831,2017-09-11,4430.0,4540.0,4301.0,4432.0,754225503,170163,44,4452.0,4319.0,1396-06-20
