,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
236,2016-07-02,30001.0,30501.0,30001.0,30376.0,375109349,12349,10,1000.0,30001.0,1395-04-12
235,2016-07-03,30003.0,30003.0,30002.0,30003.0,40683878,1356,2,30376.0,30002.0,1395-04-13
234,2016-07-04,30002.0,30002.0,30000.0,30001.0,20700380,690,2,30003.0,30000.0,1395-04-14
233,2016-07-09,30002.0,30002.0,30002.0,30002.0,1500100,50,1,30001.0,30002.0,1395-04-19
232,2016-07-10,30002.0,30002.0,30002.0,30002.0,16951130,565,2,30002.0,30002.0,1395-04-20
231,2016-07-11,30002.0,30002.0,30002.0,30002.0,65614374,2187,2,30002.0,30002.0,1395-04-21
230,2016-07-13,30002.0,30002.0,30002.0,30002.0,5010334,167,1,30002.0,30002.0,1395-04-23
229,2016-07-16,30002.0,30002.0,30002.0,30002.0,56763784,1892,1,30002.0,30002.0,1395-04-26
228,2016-07-17,30002.0,30002.0,30002.0,30002.0,109567304,3652,1,30002.0,30002.0,1395-04-27
227,2016-07-18,30002.0,30002.0,30002.0,30002.0,86765784,2892,2,30002.0,30002.0,1395-04-28
226,2016-07-19,30002.0,30002.0,30002.0,30002.0,56763784,1892,1,30002.0,30002.0,1395-04-29
225,2016-07-25,30002.0,30002.0,30002.0,30002.0,31802120,1060,2,30002.0,30002.0,1395-05-04
224,2016-08-01,30002.0,30002.0,30002.0,30002.0,56763784,1892,1,30002.0,30002.0,1395-05-11
223,2016-08-02,30002.0,30002.0,30002.0,30002.0,52653510,1755,2,30002.0,30002.0,1395-05-12
222,2016-08-06,30002.0,30002.0,30002.0,30002.0,120008000,4000,1,30002.0,30002.0,1395-05-16
221,2016-08-07,30002.0,30002.0,30002.0,30002.0,109567304,3652,3,30002.0,30002.0,1395-05-17
220,2016-08-08,30003.0,30003.0,30002.0,30003.0,394384078,13145,4,30002.0,30002.0,1395-05-18
219,2016-08-09,30002.0,30002.0,30002.0,30002.0,69304620,2310,2,30003.0,30002.0,1395-05-19
218,2016-08-10,30003.0,30003.0,30002.0,30003.0,669604502,22318,3,30002.0,30002.0,1395-05-20
217,2016-08-13,30003.0,30003.0,30003.0,30003.0,56765676,1892,1,30003.0,30003.0,1395-05-23
216,2016-08-14,30003.0,30003.0,30003.0,30003.0,56765676,1892,1,30003.0,30003.0,1395-05-24
215,2016-08-15,30002.0,30002.0,30002.0,30002.0,166331088,5544,3,30003.0,30002.0,1395-05-25
214,2016-08-16,30002.0,30002.0,30002.0,30002.0,109567304,3652,2,30002.0,30002.0,1395-05-26
213,2016-08-17,30002.0,30002.0,30002.0,30002.0,51153410,1705,1,30002.0,30002.0,1395-05-27
212,2016-08-21,30002.0,30002.0,30002.0,30002.0,90006000,3000,1,30002.0,30002.0,1395-05-31
211,2016-08-22,30003.0,30003.0,30003.0,30003.0,56765676,1892,1,30002.0,30003.0,1395-06-01
210,2016-08-24,30003.0,30003.0,30003.0,30003.0,34653465,1155,1,30003.0,30003.0,1395-06-03
209,2016-08-27,30002.0,30002.0,30002.0,30002.0,51153410,1705,1,30003.0,30002.0,1395-06-06
208,2016-09-04,30000.0,30000.0,30000.0,30000.0,12000000,400,1,30002.0,30000.0,1395-06-14
207,2016-09-06,30003.0,30003.0,30003.0,30003.0,183828381,6127,1,30000.0,30003.0,1395-06-16
206,2016-09-07,30002.0,30002.0,30002.0,30002.0,109567304,3652,4,30003.0,30002.0,1395-06-17
205,2016-09-11,30002.0,30002.0,30002.0,30002.0,90006000,3000,1,30002.0,30002.0,1395-06-21
204,2016-09-13,30004.0,30004.0,30004.0,30004.0,56767568,1892,1,30002.0,30004.0,1395-06-23
203,2016-09-17,30010.0,30010.0,30010.0,30010.0,51167050,1705,1,30004.0,30010.0,1395-06-27
202,2016-09-18,30011.0,30011.0,30011.0,30011.0,200053326,6666,2,30010.0,30011.0,1395-06-28
201,2016-09-24,30023.0,30023.0,30007.0,30020.0,36174435,1205,2,30011.0,30007.0,1395-07-03
200,2016-09-26,30050.0,30050.0,30050.0,30050.0,4207000,140,1,30020.0,30050.0,1395-07-05
199,2016-09-27,30010.0,30010.0,30010.0,30010.0,146808920,4892,2,30050.0,30010.0,1395-07-06
198,2016-09-28,30010.0,30010.0,30010.0,30010.0,36012000,1200,1,30010.0,30010.0,1395-07-07
197,2016-10-01,30010.0,30010.0,30010.0,30010.0,56778920,1892,1,30010.0,30010.0,1395-07-10
196,2016-10-02,30010.0,30010.0,30010.0,30010.0,45015000,1500,1,30010.0,30010.0,1395-07-11
