date,open,high,low,adjClose,value,volume,count,close,jdate
2015-09-20,10000.0,10000.0,10000.0,10000.0,16010000,1601,5,10000.0,1394-06-29
2015-09-21,10000.0,10000.0,10000.0,10000.0,15005220000,1500522,33,10000.0,1394-06-30
2015-09-22,10000.0,10000.0,10000.0,10000.0,79978770000,7997877,95,10000.0,1394-06-31
2015-11-02,10000.0,10000.0,10000.0,10000.0,301220000,30122,2,10000.0,1394-08-11
2015-11-03,10000.0,10000.0,10000.0,10000.0,495000000,49500,9,10000.0,1394-08-12
2015-11-04,10000.0,10000.0,10000.0,10000.0,5000000,500,1,10000.0,1394-08-13
2015-11-07,10098.0,10098.0,9900.0,9999.0,2189880,219,2,9900.0,1394-08-16
2015-11-11,9900.0,9900.0,9900.0,9900.0,11880000,1200,1,9900.0,1394-08-20
2015-11-15,10000.0,10000.0,10000.0,10000.0,4500000,450,2,10000.0,1394-08-24
2016-01-30,10024.0,10024.0,10023.0,10024.0,24812857935,2475345,101,10024.0,1394-11-10
2016-02-01,10035.0,10035.0,10034.0,10034.0,2018089375,201125,6,10035.0,1394-11-12
2016-02-03,10047.0,10047.0,10047.0,10047.0,20145842520,2005160,43,10047.0,1394-11-14
2016-02-07,10068.0,10068.0,10068.0,10068.0,7047600000,700000,14,10068.0,1394-11-18
2016-02-08,10074.0,10074.0,10074.0,10074.0,1017474,101,1,10074.0,1394-11-19
2016-02-09,10083.0,10083.0,10080.0,10081.0,20163000,2000,2,10080.0,1394-11-20
2016-02-15,10114.0,10114.0,10114.0,10114.0,111254000,11000,2,10114.0,1394-11-26
2016-02-17,10126.0,10126.0,10126.0,10126.0,2025200,200,1,10126.0,1394-11-28
2016-02-22,10154.0,10154.0,10154.0,10154.0,50770000,5000,1,10154.0,1394-12-03
2016-02-27,10183.0,10183.0,10183.0,10183.0,509150000,50000,1,10183.0,1394-12-08
2016-03-05,10224.0,10224.0,10224.0,10224.0,20448000,2000,1,10224.0,1394-12-15
2016-03-08,10241.0,10241.0,10241.0,10241.0,20482000,2000,1,10241.0,1394-12-18
2016-03-09,10247.0,10247.0,10247.0,10247.0,4098800000,400000,8,10247.0,1394-12-19
2016-03-12,10264.0,10264.0,10264.0,10264.0,1026400000,100000,2,10264.0,1394-12-22
2016-03-16,10288.0,10288.0,10288.0,10288.0,20576000,2000,1,10288.0,1394-12-26
2016-03-28,10358.0,10358.0,10358.0,10358.0,1035800,100,1,10358.0,1395-01-09
2016-04-03,10393.0,10393.0,10393.0,10393.0,1558950,150,1,10393.0,1395-01-15
2016-04-04,10399.0,10399.0,10399.0,10399.0,519950000,50000,1,10399.0,1395-01-16
2016-04-09,10429.0,10429.0,10429.0,10429.0,73003000,7000,2,10429.0,1395-01-21
2016-04-16,10470.0,10470.0,10470.0,10470.0,20940000,2000,1,10470.0,1395-01-28
2016-04-19,10490.0,10490.0,10490.0,10490.0,10490000,1000,1,10490.0,1395-01-31
2016-04-24,10518.0,10518.0,10518.0,10518.0,23507730,2235,2,10518.0,1395-02-05
2016-04-26,10529.0,10529.0,10529.0,10529.0,10529000,1000,1,10529.0,1395-02-07
2016-04-30,10551.0,10551.0,10551.0,10551.0,1055100,100,1,10551.0,1395-02-11
2016-05-03,10568.0,10568.0,10568.0,10568.0,10568000,1000,1,10568.0,1395-02-14
2016-05-07,10590.0,10590.0,10590.0,10590.0,1059000,100,1,10590.0,1395-02-18
2016-05-08,10595.0,10595.0,10595.0,10595.0,211900000,20000,1,10595.0,1395-02-19
2016-05-09,10601.0,10625.0,10601.0,10613.0,2122600,200,2,10625.0,1395-02-20
2016-05-15,10634.0,10634.0,10634.0,10634.0,2126800000,200000,4,10634.0,1395-02-26
2016-05-16,10640.0,10640.0,10640.0,10640.0,10108000000,950000,22,10640.0,1395-02-27
2016-05-17,10645.0,10645.0,10645.0,10645.0,9049208050,850090,18,10645.0,1395-02-28
2016-05-21,10668.0,10668.0,10668.0,10668.0,1066800,100,1,10668.0,1395-03-01
2016-05-24,10684.0,10684.0,10684.0,10684.0,1068400,100,1,10684.0,1395-03-04
2016-05-30,10718.0,10718.0,10718.0,10718.0,10718000,1000,1,10718.0,1395-03-10
2016-06-05,10751.0,10751.0,10751.0,10751.0,10751000,1000,1,10751.0,1395-03-16
2016-06-07,10763.0,10763.0,10763.0,10763.0,21526000,2000,1,10763.0,1395-03-18
