,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1301,2013-10-30,1900.0,2000.0,1700.0,1920.0,195991900,102101,5,1000.0,2000.0,1392-08-08
1300,2013-11-12,2000.0,2000.0,2000.0,2000.0,20000000,10000,1,1920.0,2000.0,1392-08-21
1299,2013-11-30,2400.0,2400.0,2400.0,2400.0,1920000,800,1,2000.0,2400.0,1392-09-09
1298,2013-12-22,2000.0,2500.0,2000.0,2417.0,2432000,1006,2,2400.0,2500.0,1392-10-01
1297,2014-01-01,2600.0,2600.0,2500.0,2594.0,13750000,5300,2,2417.0,2500.0,1392-10-11
1296,2014-01-04,2600.0,2600.0,2600.0,2600.0,26000000,10000,1,2594.0,2600.0,1392-10-14
1295,2014-01-13,2620.0,3000.0,2620.0,2789.0,44690200,16026,4,2600.0,3000.0,1392-10-23
1294,2014-01-25,2800.0,3100.0,2800.0,2896.0,105084000,36280,4,2789.0,3000.0,1392-11-05
1293,2014-01-29,3100.0,3100.0,2800.0,3021.0,62162800,20576,4,2896.0,3000.0,1392-11-09
1292,2014-02-05,3150.0,3150.0,3150.0,3150.0,24374700,7738,1,3021.0,3150.0,1392-11-16
1291,2014-02-17,3399.0,3399.0,3110.0,3195.0,27157500,8500,2,3150.0,3110.0,1392-11-28
1290,2014-02-18,3170.0,3170.0,3170.0,3170.0,58499180,18454,2,3195.0,3170.0,1392-11-29
1289,2014-03-04,3230.0,3250.0,3230.0,3246.0,99150660,30542,2,3170.0,3250.0,1392-12-13
1288,2014-03-05,3859.0,3859.0,3859.0,3859.0,4283490,1110,3,3246.0,3859.0,1392-12-14
1287,2014-03-08,3859.0,3859.0,3100.0,3166.0,178690200,56438,4,3859.0,3100.0,1392-12-17
1286,2014-03-16,3166.0,3166.0,3166.0,3166.0,21307180,6730,3,3166.0,3166.0,1392-12-25
1285,2014-03-17,3200.0,3800.0,3200.0,3220.0,9667502,3002,3,3166.0,3201.0,1392-12-26
1284,2014-03-26,3311.0,3311.0,3311.0,3311.0,16127881,4871,1,3220.0,3311.0,1393-01-06
1283,2014-04-06,3311.0,3311.0,3311.0,3311.0,4966500,1500,1,3311.0,3311.0,1393-01-17
1282,2014-04-07,3300.0,3300.0,3300.0,3300.0,85889100,26027,2,3311.0,3300.0,1393-01-18
1281,2014-04-09,3200.0,3200.0,3100.0,3187.0,2377200,746,2,3300.0,3100.0,1393-01-20
1280,2014-04-16,3100.0,3100.0,3100.0,3100.0,2941900,949,1,3187.0,3100.0,1393-01-27
1279,2014-04-26,3100.0,3100.0,3100.0,3100.0,15500000,5000,1,3100.0,3100.0,1393-02-06
1278,2014-04-29,3100.0,3100.0,2800.0,2887.0,40750300,14113,2,3100.0,2800.0,1393-02-09
1277,2014-04-30,2800.0,2800.0,2800.0,2800.0,16483600,5887,2,2887.0,2800.0,1393-02-10
1276,2014-05-07,2631.0,2631.0,2631.0,2631.0,33387390,12690,5,2800.0,2631.0,1393-02-17
1275,2014-05-10,2800.0,2800.0,2631.0,2703.0,11354400,4200,2,2631.0,2631.0,1393-02-20
1274,2014-05-18,2631.0,2631.0,2631.0,2631.0,613023,233,1,2703.0,2631.0,1393-02-28
1273,2014-05-21,2940.0,2940.0,2940.0,2940.0,88200,30,3,2631.0,2940.0,1393-02-31
1272,2014-05-25,2950.0,2950.0,2800.0,2826.0,157474800,55720,7,2940.0,2800.0,1393-03-04
1271,2014-05-31,2700.0,2700.0,2700.0,2700.0,17820000,6600,2,2826.0,2700.0,1393-03-10
1270,2014-06-03,2631.0,2631.0,2631.0,2631.0,2631000,1000,1,2700.0,2631.0,1393-03-13
1269,2014-06-08,2700.0,2700.0,2700.0,2700.0,108000000,40000,1,2631.0,2700.0,1393-03-18
