,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
66,2021-01-09,990.0,990.0,990.0,990.0,3795765930,3834107,257,1000.0,990.0,1399-10-20
65,2021-01-10,950.0,950.0,950.0,990.0,615824200,648236,48,990.0,950.0,1399-10-21
64,2021-01-11,950.0,950.0,950.0,990.0,129457450,136271,16,990.0,950.0,1399-10-22
63,2021-01-12,950.0,950.0,950.0,990.0,50888650,53567,7,990.0,950.0,1399-10-23
62,2021-01-13,950.0,950.0,950.0,990.0,195067300,205334,20,990.0,950.0,1399-10-24
61,2021-01-20,950.0,950.0,950.0,990.0,266473100,280498,17,990.0,950.0,1399-11-01
60,2021-01-23,950.0,950.0,950.0,990.0,67459500,71010,6,990.0,950.0,1399-11-04
59,2021-01-24,950.0,950.0,950.0,990.0,39195100,41258,7,990.0,950.0,1399-11-05
58,2021-01-25,950.0,950.0,950.0,990.0,10027250,10555,2,990.0,950.0,1399-11-06
57,2021-01-26,950.0,950.0,950.0,990.0,605852050,637739,40,990.0,950.0,1399-11-07
56,2021-01-27,950.0,950.0,950.0,990.0,209699200,220736,16,990.0,950.0,1399-11-08
55,2021-01-30,950.0,950.0,950.0,990.0,26264650,27647,5,990.0,950.0,1399-11-11
54,2021-01-31,950.0,950.0,950.0,990.0,20235000,21300,3,990.0,950.0,1399-11-12
53,2021-02-01,950.0,950.0,950.0,990.0,15062250,15855,3,990.0,950.0,1399-11-13
52,2021-02-02,950.0,950.0,950.0,990.0,52003000,54740,4,990.0,950.0,1399-11-14
51,2021-02-03,950.0,950.0,950.0,990.0,11875000,12500,3,990.0,950.0,1399-11-15
50,2021-02-07,950.0,970.0,950.0,980.0,26973772880,28354476,652,990.0,960.0,1399-11-19
49,2021-02-08,940.0,970.0,940.0,970.0,16856591380,17733331,441,980.0,940.0,1399-11-20
48,2021-02-09,930.0,1010.0,930.0,970.0,14106300490,14636229,392,970.0,990.0,1399-11-21
47,2021-02-13,970.0,980.0,960.0,970.0,3529075210,3659111,163,970.0,960.0,1399-11-25
46,2021-02-14,960.0,960.0,960.0,970.0,103154880,107453,8,970.0,960.0,1399-11-26
45,2021-02-15,960.0,960.0,960.0,970.0,55974720,58307,8,970.0,960.0,1399-11-27
44,2021-02-16,960.0,960.0,960.0,970.0,91704000,95525,14,970.0,960.0,1399-11-28
43,2021-02-17,960.0,960.0,960.0,970.0,41760000,43500,3,970.0,960.0,1399-11-29
42,2021-02-20,960.0,960.0,960.0,970.0,65549760,68281,5,970.0,960.0,1399-12-02
41,2021-02-21,960.0,960.0,960.0,970.0,69120000,72000,5,970.0,960.0,1399-12-03
40,2021-02-22,960.0,960.0,960.0,970.0,50424960,52526,7,970.0,960.0,1399-12-04
39,2021-02-23,960.0,960.0,960.0,970.0,45269760,47156,5,970.0,960.0,1399-12-05
38,2021-02-24,960.0,960.0,960.0,970.0,32278080,33623,7,970.0,960.0,1399-12-06
37,2021-02-27,960.0,960.0,960.0,970.0,21149760,22031,3,970.0,960.0,1399-12-09
36,2021-03-01,960.0,960.0,960.0,970.0,1664499840,1733854,37,970.0,960.0,1399-12-11
35,2021-03-02,960.0,960.0,960.0,970.0,89065920,92777,9,970.0,960.0,1399-12-12
34,2021-03-03,960.0,960.0,960.0,970.0,10118400,10540,2,970.0,960.0,1399-12-13
33,2021-03-07,960.0,960.0,960.0,970.0,120000000,125000,8,970.0,960.0,1399-12-17
32,2021-03-08,960.0,960.0,960.0,970.0,14726400,15340,2,970.0,960.0,1399-12-18
31,2021-03-09,960.0,960.0,960.0,970.0,7766400,8090,1,970.0,960.0,1399-12-19
30,2021-03-13,960.0,960.0,960.0,970.0,7008000,7300,1,970.0,960.0,1399-12-23
29,2021-03-14,960.0,960.0,960.0,970.0,5181120,5397,2,970.0,960.0,1399-12-24
28,2021-03-15,960.0,960.0,960.0,970.0,5386560,5611,2,970.0,960.0,1399-12-25
27,2021-04-04,960.0,960.0,960.0,970.0,25536000,26600,3,970.0,960.0,1400-01-15
26,2021-04-05,960.0,960.0,960.0,970.0,29769600,31010,4,970.0,960.0,1400-01-16
25,2021-04-06,960.0,960.0,960.0,970.0,5080320,5292,1,970.0,960.0,1400-01-17
24,2021-04-12,960.0,960.0,960.0,970.0,22761600,23710,4,970.0,960.0,1400-01-23
23,2021-04-13,960.0,960.0,960.0,970.0,61609920,64177,10,970.0,960.0,1400-01-24
22,2021-04-14,960.0,960.0,960.0,970.0,253498560,264061,15,970.0,960.0,1400-01-25
21,2021-04-17,960.0,960.0,960.0,970.0,80629440,83989,8,970.0,960.0,1400-01-28
20,2021-04-18,960.0,960.0,960.0,970.0,20856960,21726,3,970.0,960.0,1400-01-29
19,2021-04-19,960.0,960.0,960.0,970.0,20214720,21057,4,970.0,960.0,1400-01-30
18,2021-04-20,960.0,960.0,960.0,970.0,19200,20,2,970.0,960.0,1400-01-31
17,2021-04-21,950.0,950.0,950.0,970.0,19450300,20474,3,970.0,950.0,1400-02-01
16,2021-04-25,950.0,950.0,950.0,970.0,21048200,22156,4,970.0,950.0,1400-02-05
15,2021-04-26,950.0,950.0,950.0,970.0,5225000,5500,1,970.0,950.0,1400-02-06
14,2021-04-27,950.0,950.0,950.0,970.0,10250500,10790,2,970.0,950.0,1400-02-07
13,2021-04-28,950.0,950.0,950.0,970.0,16625000,17500,3,970.0,950.0,1400-02-08
12,2021-05-05,941.0,941.0,941.0,970.0,58020178,61658,6,970.0,941.0,1400-02-15
11,2021-05-08,941.0,941.0,941.0,970.0,5646000,6000,1,970.0,941.0,1400-02-18
10,2021-05-12,941.0,941.0,941.0,970.0,5646000,6000,1,970.0,941.0,1400-02-22
9,2021-05-15,922.0,922.0,922.0,970.0,9220000,10000,1,970.0,922.0,1400-02-25
8,2021-05-16,922.0,922.0,922.0,970.0,5030432,5456,1,970.0,922.0,1400-02-26
7,2021-05-22,922.0,922.0,922.0,970.0,46100000,50000,2,970.0,922.0,1400-03-01
6,2021-05-25,922.0,922.0,922.0,961.0,13830000000,15000000,293,970.0,922.0,1400-03-04
5,2021-05-26,913.0,913.0,913.0,953.0,12878211940,14105380,294,961.0,913.0,1400-03-05
4,2021-05-29,906.0,906.0,906.0,948.0,7278840240,8034040,154,953.0,906.0,1400-03-08
3,2021-05-30,901.0,901.0,901.0,944.0,6431827243,7138543,154,948.0,901.0,1400-03-09
2,2021-05-31,897.0,897.0,897.0,944.0,10512840,11720,2,944.0,897.0,1400-03-10
1,2021-06-01,897.0,897.0,897.0,942.0,2719704000,3032000,67,944.0,897.0,1400-03-11
0,2021-06-02,895.0,896.0,895.0,939.0,4547935220,5081436,105,942.0,895.0,1400-03-12
