,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
85,2020-11-30,1030.0,1030.0,1030.0,1030.0,2528572750,2454925,467,1000.0,1030.0,1399-09-10
84,2020-12-01,1080.0,1080.0,1030.0,1030.0,11022079750,10219122,489,1030.0,1080.0,1399-09-11
83,2020-12-02,1070.0,1070.0,980.0,1030.0,14290223680,14296010,640,1030.0,990.0,1399-09-12
82,2020-12-05,980.0,980.0,980.0,1030.0,3122727860,3186457,140,1030.0,980.0,1399-09-15
81,2020-12-06,980.0,980.0,980.0,1030.0,736127980,751151,67,1030.0,980.0,1399-09-16
80,2020-12-07,980.0,980.0,980.0,1030.0,3693026120,3768394,75,1030.0,980.0,1399-09-17
79,2020-12-08,980.0,980.0,980.0,1030.0,2087661660,2130267,100,1030.0,980.0,1399-09-18
78,2020-12-09,980.0,980.0,980.0,1030.0,1060853920,1082504,55,1030.0,980.0,1399-09-19
77,2020-12-12,980.0,980.0,980.0,1030.0,199460380,203531,20,1030.0,980.0,1399-09-22
76,2020-12-13,980.0,980.0,980.0,1030.0,88793880,90606,15,1030.0,980.0,1399-09-23
75,2020-12-14,980.0,980.0,980.0,1030.0,122917480,125426,13,1030.0,980.0,1399-09-24
74,2020-12-15,980.0,980.0,980.0,1030.0,191185260,195087,11,1030.0,980.0,1399-09-25
73,2020-12-16,980.0,980.0,980.0,1030.0,347703020,354799,26,1030.0,980.0,1399-09-26
72,2020-12-19,980.0,980.0,980.0,1030.0,82768840,84458,9,1030.0,980.0,1399-09-29
71,2020-12-20,980.0,980.0,980.0,1030.0,246300460,251327,14,1030.0,980.0,1399-09-30
70,2020-12-21,980.0,980.0,980.0,1030.0,66811500,68175,6,1030.0,980.0,1399-10-01
69,2020-12-22,980.0,980.0,980.0,1030.0,91972020,93849,11,1030.0,980.0,1399-10-02
68,2020-12-23,980.0,980.0,980.0,1030.0,119363020,121799,17,1030.0,980.0,1399-10-03
67,2020-12-26,980.0,980.0,980.0,1030.0,89421080,91246,9,1030.0,980.0,1399-10-06
66,2020-12-27,980.0,980.0,980.0,1030.0,32489940,33153,4,1030.0,980.0,1399-10-07
65,2020-12-28,980.0,980.0,980.0,1030.0,40979680,41816,5,1030.0,980.0,1399-10-08
64,2020-12-29,980.0,980.0,980.0,1030.0,20153700,20565,5,1030.0,980.0,1399-10-09
63,2020-12-30,980.0,980.0,980.0,1030.0,148662080,151696,5,1030.0,980.0,1399-10-10
62,2021-01-02,980.0,980.0,980.0,1030.0,20710340,21133,3,1030.0,980.0,1399-10-13
61,2021-01-03,980.0,980.0,980.0,1030.0,33547360,34232,5,1030.0,980.0,1399-10-14
60,2021-01-04,980.0,980.0,980.0,1030.0,43382640,44268,7,1030.0,980.0,1399-10-15
59,2021-01-05,980.0,980.0,980.0,1030.0,189327180,193191,11,1030.0,980.0,1399-10-16
58,2021-01-06,980.0,980.0,980.0,1030.0,21560000,22000,4,1030.0,980.0,1399-10-17
57,2021-01-09,980.0,980.0,980.0,1030.0,5507600,5620,2,1030.0,980.0,1399-10-20
56,2021-01-10,980.0,980.0,980.0,1030.0,37172380,37931,6,1030.0,980.0,1399-10-21
55,2021-01-11,980.0,980.0,980.0,1030.0,14700000,15000,2,1030.0,980.0,1399-10-22
54,2021-01-12,980.0,980.0,980.0,1030.0,89035940,90853,7,1030.0,980.0,1399-10-23
53,2021-01-13,980.0,980.0,980.0,1030.0,28891380,29481,5,1030.0,980.0,1399-10-24
52,2021-01-16,980.0,980.0,980.0,1030.0,86809380,88581,10,1030.0,980.0,1399-10-27
51,2021-02-16,1010.0,1010.0,1010.0,1030.0,729328070,722107,45,1030.0,1010.0,1399-11-28
50,2021-02-17,1010.0,1010.0,1010.0,1030.0,245158310,242731,17,1030.0,1010.0,1399-11-29
49,2021-02-20,1010.0,1010.0,1010.0,1030.0,136232840,134884,7,1030.0,1010.0,1399-12-02
48,2021-02-21,1010.0,1010.0,1010.0,1030.0,51926120,51412,9,1030.0,1010.0,1399-12-03
47,2021-02-22,1010.0,1010.0,1010.0,1030.0,3524931310,3490031,84,1030.0,1010.0,1399-12-04
46,2021-02-23,1010.0,1010.0,1010.0,1030.0,61573640,60964,9,1030.0,1010.0,1399-12-05
45,2021-02-24,1010.0,1010.0,1010.0,1030.0,10734559770,10628277,223,1030.0,1010.0,1399-12-06
44,2021-02-27,1010.0,1010.0,1010.0,1030.0,15465972440,15312844,284,1030.0,1010.0,1399-12-09
43,2021-02-28,1010.0,1010.0,1010.0,1030.0,136722690,135369,8,1030.0,1010.0,1399-12-10
42,2021-03-01,1010.0,1010.0,1010.0,1030.0,10495336220,10391422,174,1030.0,1010.0,1399-12-11
41,2021-03-02,1010.0,1010.0,1010.0,1030.0,7245492550,7173755,130,1030.0,1010.0,1399-12-12
40,2021-03-03,1010.0,1010.0,1010.0,1030.0,22119000,21900,3,1030.0,1010.0,1399-12-13
39,2021-03-06,1010.0,1010.0,1010.0,1030.0,40239410,39841,5,1030.0,1010.0,1399-12-16
38,2021-03-07,1010.0,1010.0,1010.0,1030.0,33280510,32951,5,1030.0,1010.0,1399-12-17
37,2021-03-08,1010.0,1010.0,1010.0,1030.0,6060000,6000,1,1030.0,1010.0,1399-12-18
36,2021-03-09,1010.0,1010.0,1010.0,1030.0,39390000,39000,3,1030.0,1010.0,1399-12-19
35,2021-03-10,1010.0,1010.0,1010.0,1030.0,50530300,50030,6,1030.0,1010.0,1399-12-20
34,2021-03-13,1010.0,1010.0,1010.0,1030.0,20200000,20000,5,1030.0,1010.0,1399-12-23
33,2021-03-14,1010.0,1010.0,1010.0,1030.0,15446940,15294,2,1030.0,1010.0,1399-12-24
32,2021-03-15,1010.0,1010.0,1010.0,1030.0,41175680,40768,6,1030.0,1010.0,1399-12-25
31,2021-04-04,1010.0,1010.0,1010.0,1030.0,6060000,6000,1,1030.0,1010.0,1400-01-15
30,2021-04-05,1010.0,1010.0,1010.0,1030.0,76061080,75308,1,1030.0,1010.0,1400-01-16
29,2021-04-06,1010.0,1010.0,1010.0,1030.0,87870000,87000,4,1030.0,1010.0,1400-01-17
28,2021-04-10,1010.0,1010.0,1010.0,1030.0,5089390,5039,1,1030.0,1010.0,1400-01-21
27,2021-04-11,1010.0,1010.0,1010.0,1030.0,13855180,13718,2,1030.0,1010.0,1400-01-22
26,2021-04-12,1010.0,1010.0,1010.0,1030.0,65650000,65000,5,1030.0,1010.0,1400-01-23
25,2021-04-13,1010.0,1010.0,1010.0,1030.0,100991920,99992,17,1030.0,1010.0,1400-01-24
24,2021-04-14,1010.0,1010.0,1010.0,1030.0,297206640,294264,17,1030.0,1010.0,1400-01-25
23,2021-04-17,1010.0,1010.0,1010.0,1030.0,207050000,205000,7,1030.0,1010.0,1400-01-28
22,2021-04-18,1010.0,1010.0,1010.0,1030.0,15568140,15414,4,1030.0,1010.0,1400-01-29
21,2021-04-19,1010.0,1010.0,1010.0,1030.0,16838720,16672,3,1030.0,1010.0,1400-01-30
