,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
95,2020-11-23,990.0,990.0,990.0,990.0,1959973290,1979771,60,1000.0,990.0,1399-09-03
94,2020-11-24,1030.0,1030.0,1030.0,990.0,4309953630,4184421,96,990.0,1030.0,1399-09-04
93,2020-11-25,1030.0,1030.0,1030.0,990.0,2801482580,2719886,62,990.0,1030.0,1399-09-05
92,2020-11-28,1030.0,1030.0,1030.0,990.0,5400531020,5243234,127,990.0,1030.0,1399-09-08
91,2020-11-29,1030.0,1030.0,1030.0,990.0,3422215170,3322539,84,990.0,1030.0,1399-09-09
90,2020-11-30,1030.0,1030.0,1030.0,990.0,3735997460,3627182,82,990.0,1030.0,1399-09-10
89,2020-12-01,1030.0,1030.0,1030.0,990.0,3623451420,3517914,84,990.0,1030.0,1399-09-11
88,2020-12-13,1030.0,1030.0,1030.0,1000.0,12115429590,11762553,260,990.0,1030.0,1399-09-23
87,2020-12-15,1060.0,1060.0,1060.0,1020.0,10840263840,10226664,344,1010.0,1060.0,1399-09-25
86,2020-12-16,1070.0,1070.0,970.0,1030.0,16903068960,15885250,723,1020.0,1070.0,1399-09-26
85,2020-12-19,1080.0,1080.0,1080.0,1040.0,11403632520,10558919,221,1030.0,1080.0,1399-09-29
84,2020-12-20,1090.0,1090.0,1090.0,1050.0,14508663000,13310700,389,1040.0,1090.0,1399-09-30
83,2020-12-21,1100.0,1100.0,1100.0,1050.0,9984991500,9077265,235,1050.0,1100.0,1399-10-01
82,2020-12-22,1100.0,1100.0,1100.0,1060.0,15461107200,14055552,277,1050.0,1100.0,1399-10-02
81,2020-12-23,1110.0,1110.0,1110.0,1070.0,12978758250,11692575,414,1060.0,1110.0,1399-10-03
80,2020-12-26,1120.0,1120.0,1020.0,1070.0,13244746120,12807833,600,1070.0,1020.0,1399-10-06
79,2020-12-27,1020.0,1020.0,1020.0,1070.0,726046200,711810,54,1070.0,1020.0,1399-10-07
78,2020-12-28,1020.0,1020.0,1020.0,1070.0,380658900,373195,31,1070.0,1020.0,1399-10-08
77,2020-12-29,1020.0,1020.0,1020.0,1070.0,201390840,197442,17,1070.0,1020.0,1399-10-09
76,2020-12-30,1020.0,1020.0,1020.0,1070.0,70149480,68774,8,1070.0,1020.0,1399-10-10
75,2021-01-02,1020.0,1020.0,1020.0,1070.0,181601820,178041,20,1070.0,1020.0,1399-10-13
74,2021-01-03,1020.0,1020.0,1020.0,1070.0,178292940,174797,6,1070.0,1020.0,1399-10-14
73,2021-01-04,1020.0,1020.0,1020.0,1070.0,1410286680,1382634,41,1070.0,1020.0,1399-10-15
72,2021-01-05,1020.0,1020.0,1020.0,1070.0,169687200,166360,11,1070.0,1020.0,1399-10-16
71,2021-01-06,1020.0,1020.0,1020.0,1070.0,22842900,22395,3,1070.0,1020.0,1399-10-17
70,2021-01-09,1020.0,1020.0,1020.0,1070.0,120964860,118593,12,1070.0,1020.0,1399-10-20
69,2021-01-10,1020.0,1020.0,1020.0,1070.0,299443440,293572,14,1070.0,1020.0,1399-10-21
68,2021-01-11,1020.0,1020.0,1020.0,1070.0,37548240,36812,5,1070.0,1020.0,1399-10-22
67,2021-01-12,1020.0,1020.0,1020.0,1070.0,26147700,25635,3,1070.0,1020.0,1399-10-23
66,2021-01-13,1020.0,1020.0,1020.0,1070.0,122561160,120158,8,1070.0,1020.0,1399-10-24
65,2021-01-16,1020.0,1020.0,1020.0,1070.0,9730800,9540,2,1070.0,1020.0,1399-10-27
64,2021-01-18,1020.0,1020.0,1020.0,1070.0,15497880,15194,2,1070.0,1020.0,1399-10-29
63,2021-01-19,1020.0,1020.0,1020.0,1070.0,61436640,60232,9,1070.0,1020.0,1399-10-30
62,2021-01-20,1020.0,1020.0,1020.0,1070.0,5000040,4902,1,1070.0,1020.0,1399-11-01
61,2021-02-03,1020.0,1020.0,1020.0,1070.0,116469720,114186,15,1070.0,1020.0,1399-11-15
60,2021-02-06,1020.0,1020.0,1020.0,1070.0,68763300,67415,7,1070.0,1020.0,1399-11-18
59,2021-02-07,1020.0,1020.0,1020.0,1070.0,97438560,95528,15,1070.0,1020.0,1399-11-19
58,2021-02-08,1020.0,1020.0,1020.0,1070.0,192006840,188242,19,1070.0,1020.0,1399-11-20
57,2021-02-09,1020.0,1020.0,1020.0,1070.0,44037480,43174,8,1070.0,1020.0,1399-11-21
56,2021-02-13,1050.0,1050.0,1050.0,1070.0,47722500,45450,7,1070.0,1050.0,1399-11-25
55,2021-02-14,1050.0,1050.0,1050.0,1070.0,15411900,14678,3,1070.0,1050.0,1399-11-26
54,2021-02-15,1050.0,1050.0,1050.0,1070.0,68495700,65234,6,1070.0,1050.0,1399-11-27
53,2021-02-16,1050.0,1050.0,1050.0,1070.0,10500000,10000,1,1070.0,1050.0,1399-11-28
52,2021-02-17,1050.0,1050.0,1050.0,1070.0,43946700,41854,2,1070.0,1050.0,1399-11-29
51,2021-02-20,1050.0,1050.0,1050.0,1070.0,10290000,9800,2,1070.0,1050.0,1399-12-02
50,2021-02-21,1050.0,1050.0,1050.0,1070.0,5439000,5180,1,1070.0,1050.0,1399-12-03
49,2021-02-22,1050.0,1050.0,1050.0,1070.0,10290000,9800,2,1070.0,1050.0,1399-12-04
48,2021-02-23,1050.0,1050.0,1050.0,1070.0,20797350,19807,4,1070.0,1050.0,1399-12-05
47,2021-02-24,1050.0,1050.0,1050.0,1070.0,11051250,10525,2,1070.0,1050.0,1399-12-06
46,2021-02-27,1050.0,1050.0,1050.0,1070.0,23722650,22593,3,1070.0,1050.0,1399-12-09
45,2021-02-28,1050.0,1050.0,1050.0,1070.0,11641350,11087,3,1070.0,1050.0,1399-12-10
44,2021-03-01,1050.0,1050.0,1050.0,1070.0,1212504300,1154766,30,1070.0,1050.0,1399-12-11
43,2021-03-02,1050.0,1050.0,1050.0,1070.0,15380400,14648,3,1070.0,1050.0,1399-12-12
42,2021-03-03,1050.0,1050.0,1050.0,1070.0,21000000,20000,1,1070.0,1050.0,1399-12-13
41,2021-03-07,1050.0,1050.0,1050.0,1070.0,15750000,15000,3,1070.0,1050.0,1399-12-17
40,2021-03-08,1050.0,1050.0,1050.0,1070.0,36750000,35000,3,1070.0,1050.0,1399-12-18
39,2021-03-10,1050.0,1050.0,1050.0,1070.0,45150000,43000,3,1070.0,1050.0,1399-12-20
38,2021-03-13,1050.0,1050.0,1050.0,1070.0,26250000,25000,3,1070.0,1050.0,1399-12-23
37,2021-03-14,1050.0,1050.0,1050.0,1070.0,39474750,37595,5,1070.0,1050.0,1399-12-24
36,2021-04-04,1050.0,1050.0,1050.0,1070.0,17745000,16900,4,1070.0,1050.0,1400-01-15
35,2021-04-05,1050.0,1050.0,1050.0,1070.0,5030550,4791,1,1070.0,1050.0,1400-01-16
34,2021-04-06,1050.0,1050.0,1050.0,1070.0,19530000,18600,2,1070.0,1050.0,1400-01-17
33,2021-04-07,1050.0,1050.0,1050.0,1070.0,10007550,9531,1,1070.0,1050.0,1400-01-18
32,2021-04-12,1050.0,1050.0,1050.0,1070.0,41719650,39733,7,1070.0,1050.0,1400-01-23
31,2021-04-13,1050.0,1050.0,1050.0,1070.0,84504000,80480,13,1070.0,1050.0,1400-01-24
30,2021-04-14,1050.0,1050.0,1050.0,1070.0,336277200,320264,22,1070.0,1050.0,1400-01-25
29,2021-04-17,1050.0,1050.0,1050.0,1070.0,22278900,21218,5,1070.0,1050.0,1400-01-28
28,2021-04-18,1050.0,1050.0,1050.0,1070.0,1050,1,1,1070.0,1050.0,1400-01-29
27,2021-04-20,1050.0,1050.0,1050.0,1070.0,31500,30,3,1070.0,1050.0,1400-01-31
26,2021-04-21,1040.0,1040.0,1040.0,1070.0,5200000,5000,1,1070.0,1040.0,1400-02-01
25,2021-04-24,1040.0,1040.0,1040.0,1070.0,10400000,10000,1,1070.0,1040.0,1400-02-04
24,2021-04-25,1040.0,1040.0,1040.0,1070.0,104000000,100000,2,1070.0,1040.0,1400-02-05
23,2021-04-26,1040.0,1040.0,1040.0,1070.0,5200000,5000,1,1070.0,1040.0,1400-02-06
22,2021-04-27,1040.0,1040.0,1040.0,1070.0,5200000,5000,1,1070.0,1040.0,1400-02-07
21,2021-04-28,1040.0,1040.0,1040.0,1070.0,5200000,5000,1,1070.0,1040.0,1400-02-08
20,2021-05-01,1040.0,1040.0,1040.0,1070.0,15496000,14900,2,1070.0,1040.0,1400-02-11
19,2021-05-03,1038.0,1038.0,1038.0,1070.0,40482000,39000,6,1070.0,1038.0,1400-02-13
18,2021-05-16,1017.0,1017.0,1017.0,1070.0,20228130,19890,3,1070.0,1017.0,1400-02-26
17,2021-05-17,1017.0,1017.0,1017.0,1070.0,22679100,22300,4,1070.0,1017.0,1400-02-27
16,2021-05-23,1017.0,1017.0,1017.0,1070.0,5288400,5200,1,1070.0,1017.0,1400-03-02
15,2021-05-25,1017.0,1017.0,1017.0,1070.0,5085000,5000,1,1070.0,1017.0,1400-03-04
14,2021-05-26,1017.0,1017.0,1017.0,1070.0,5085000,5000,1,1070.0,1017.0,1400-03-05
13,2021-05-29,1017.0,1017.0,1017.0,1070.0,10170000,10000,1,1070.0,1017.0,1400-03-08
12,2021-06-01,1017.0,1017.0,1017.0,1070.0,10170000,10000,2,1070.0,1017.0,1400-03-11
11,2021-06-07,1017.0,1017.0,1017.0,1070.0,33452181,32893,4,1070.0,1017.0,1400-03-17
10,2021-06-09,1017.0,1017.0,1017.0,1070.0,5080932,4996,1,1070.0,1017.0,1400-03-19
9,2021-06-14,1017.0,1017.0,1017.0,1070.0,5085000,5000,1,1070.0,1017.0,1400-03-24
8,2021-06-16,1017.0,1017.0,1017.0,1070.0,5085000,5000,1,1070.0,1017.0,1400-03-26
7,2021-06-20,1017.0,1017.0,1017.0,1070.0,7119000,7000,1,1070.0,1017.0,1400-03-30
6,2021-06-21,1017.0,1017.0,1017.0,1070.0,6210819,6107,1,1070.0,1017.0,1400-03-31
5,2021-06-22,1017.0,1017.0,1017.0,1070.0,10195425,10025,3,1070.0,1017.0,1400-04-01
4,2021-06-26,1017.0,1017.0,1017.0,1070.0,20340000,20000,3,1070.0,1017.0,1400-04-05
3,2021-06-27,1017.0,1017.0,1017.0,1070.0,53901000,53000,5,1070.0,1017.0,1400-04-06
2,2021-06-28,1017.0,1018.0,1017.0,1040.0,52592036249,51712897,876,1070.0,1017.0,1400-04-07
1,2021-06-29,988.0,999.0,988.0,989.0,89883357968,90974836,1031,1040.0,988.0,1400-04-08
0,2021-06-30,940.0,950.0,940.0,979.0,17559131891,18678327,394,989.0,940.0,1400-04-09
