,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
210,2020-07-08,3200.0,3200.0,3200.0,3200.0,1078801193600,337125373,4512223,1000.0,3200.0,1399-04-18
209,2020-07-11,3360.0,3360.0,3360.0,3210.0,2608408320,776312,10678,3200.0,3360.0,1399-04-21
208,2020-07-12,3370.0,3370.0,3370.0,3220.0,4318894270,1281571,10721,3210.0,3370.0,1399-04-22
207,2020-07-13,3380.0,3380.0,3380.0,3230.0,4814296240,1424348,12639,3220.0,3380.0,1399-04-23
206,2020-07-14,3390.0,3390.0,3390.0,3250.0,5205914520,1535668,8519,3230.0,3390.0,1399-04-24
205,2020-07-15,3410.0,3410.0,3410.0,3260.0,4835086740,1417914,5702,3250.0,3410.0,1399-04-25
204,2020-07-18,3420.0,3420.0,3420.0,3270.0,4166630460,1218313,9774,3260.0,3420.0,1399-04-28
203,2020-07-19,3430.0,3430.0,3430.0,3270.0,722296260,210582,2872,3270.0,3430.0,1399-04-29
202,2020-07-20,3430.0,3430.0,3430.0,3280.0,2940569870,857309,11369,3270.0,3430.0,1399-04-30
201,2020-07-21,3440.0,3440.0,3440.0,3290.0,2906975440,845051,11377,3280.0,3440.0,1399-04-31
200,2020-07-22,3450.0,3450.0,3450.0,3300.0,1838977650,533037,7326,3290.0,3450.0,1399-05-01
199,2020-07-25,3460.0,3460.0,3460.0,3310.0,2812526740,812869,10437,3300.0,3460.0,1399-05-04
198,2020-07-26,3470.0,3470.0,3470.0,3320.0,4180371460,1204718,7789,3310.0,3470.0,1399-05-05
197,2020-07-27,3480.0,3480.0,3480.0,3330.0,3043587120,874594,11805,3320.0,3480.0,1399-05-06
196,2020-07-28,3490.0,3490.0,3490.0,3340.0,4564096360,1307764,17300,3330.0,3490.0,1399-05-07
195,2020-07-29,3500.0,3500.0,3500.0,3360.0,6882893500,1966541,26832,3340.0,3500.0,1399-05-08
194,2020-08-01,3520.0,3520.0,3520.0,3370.0,5084400640,1444432,18827,3360.0,3520.0,1399-05-11
193,2020-08-02,3530.0,3530.0,3530.0,3380.0,4852602750,1374675,18400,3370.0,3530.0,1399-05-12
192,2020-08-03,3540.0,3540.0,3540.0,3390.0,5141152620,1452303,18195,3380.0,3540.0,1399-05-13
