,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
17,2019-12-31,150000.0,150000.0,150000.0,150000.0,150000000,1000,1,150000.0,150000.0,1398-10-10
16,2020-01-01,150000.0,150000.0,150000.0,150000.0,150000000,1000,1,150000.0,150000.0,1398-10-11
15,2020-01-07,150000.0,150000.0,150000.0,150000.0,4290000000,28600,8,150000.0,150000.0,1398-10-17
14,2020-01-08,150000.0,150000.0,150000.0,150000.0,3150000000,21000,7,150000.0,150000.0,1398-10-18
13,2020-01-13,150000.0,150000.0,150000.0,150000.0,510000000,3400,2,150000.0,150000.0,1398-10-23
12,2020-01-14,150000.0,150000.0,150000.0,150000.0,3300000000,22000,4,150000.0,150000.0,1398-10-24
11,2020-01-15,150000.0,150000.0,150000.0,150000.0,900000000,6000,1,150000.0,150000.0,1398-10-25
10,2020-01-18,150000.0,150000.0,150000.0,150000.0,150000000,1000,1,150000.0,150000.0,1398-10-28
9,2020-01-20,150000.0,150000.0,150000.0,150000.0,7200000000,48000,3,150000.0,150000.0,1398-10-30
8,2020-09-30,170000.0,170000.0,170000.0,170000.0,472600000,2780,2,150000.0,170000.0,1399-07-09
7,2020-10-19,170000.0,170000.0,170000.0,170000.0,1001300000,5890,1,170000.0,170000.0,1399-07-28
6,2020-10-20,170000.0,170000.0,170000.0,170000.0,1926100000,11330,1,170000.0,170000.0,1399-07-29
5,2020-10-27,170000.0,170000.0,170000.0,170000.0,340000000,2000,1,170000.0,170000.0,1399-08-06
4,2020-11-17,170000.0,170000.0,170000.0,170000.0,2210000000,13000,3,170000.0,170000.0,1399-08-27
3,2020-11-23,170000.0,170000.0,170000.0,170000.0,1360000000,8000,3,170000.0,170000.0,1399-09-03
2,2020-11-25,170000.0,170000.0,170000.0,170000.0,1020000000,6000,2,170000.0,170000.0,1399-09-05
1,2020-11-28,170000.0,170000.0,170000.0,170000.0,850000000,5000,1,170000.0,170000.0,1399-09-08
0,2020-12-06,170000.0,170000.0,170000.0,170000.0,510000000,3000,1,170000.0,170000.0,1399-09-16
