,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
115,2020-12-02,25000.0,25000.0,25000.0,25000.0,749998125000,29999925,4445627,1000.0,25000.0,1399-09-12
114,2020-12-05,26250.0,26250.0,26250.0,25154.0,6465900000,246320,36566,25000.0,26250.0,1399-09-15
113,2020-12-06,26411.0,26411.0,26411.0,25764.0,25646903359,971069,41597,25154.0,26411.0,1399-09-16
112,2020-12-07,27052.0,27052.0,27052.0,25930.0,6975060628,257839,38231,25764.0,27052.0,1399-09-17
111,2020-12-08,27226.0,27226.0,27226.0,26090.0,6739197328,247528,36924,25930.0,27226.0,1399-09-18
110,2020-12-09,27394.0,27394.0,27394.0,26237.0,6155459194,224701,33618,26090.0,27394.0,1399-09-19
109,2020-12-12,27548.0,27548.0,27548.0,26342.0,4206799984,152708,21640,26237.0,27548.0,1399-09-22
108,2020-12-13,27659.0,27659.0,27659.0,26420.0,3117722480,112720,16751,26342.0,27659.0,1399-09-23
107,2020-12-15,27859.0,27859.0,27859.0,26641.0,4313241816,154824,22973,26533.0,27859.0,1399-09-25
106,2020-12-16,27973.0,27973.0,27973.0,26723.0,3287135203,117511,17441,26641.0,27973.0,1399-09-26
105,2020-12-19,28059.0,28059.0,28059.0,26825.0,3997397376,142464,20947,26723.0,28059.0,1399-09-29
104,2020-12-20,28166.0,28166.0,28166.0,26946.0,4738000022,168217,20850,26825.0,28166.0,1399-09-30
103,2020-12-21,28293.0,28293.0,28293.0,27073.0,5009586873,177061,20426,26946.0,28293.0,1399-10-01
102,2020-12-22,28426.0,28426.0,28426.0,27196.0,4829463696,169896,25131,27073.0,28426.0,1399-10-02
101,2020-12-23,28555.0,28555.0,28555.0,27337.0,5545095450,194190,25091,27196.0,28555.0,1399-10-03
100,2020-12-26,28703.0,28703.0,28703.0,27536.0,7635457248,266016,39246,27337.0,28703.0,1399-10-06
99,2020-12-27,28912.0,28912.0,28912.0,27738.0,7770822800,268775,39694,27536.0,28912.0,1399-10-07
98,2020-12-28,29124.0,29124.0,29124.0,27918.0,6907164336,237164,35017,27738.0,29124.0,1399-10-08
97,2020-12-29,29313.0,29313.0,29313.0,29313.0,53743773285,1833445,30078,27918.0,29313.0,1399-10-09
96,2020-12-30,30778.0,30778.0,30778.0,30778.0,57067736594,1854173,51490,29313.0,30778.0,1399-10-10
95,2021-01-02,32316.0,32316.0,32316.0,32316.0,53921798964,1668579,51947,30778.0,32316.0,1399-10-13
94,2021-01-03,33931.0,33931.0,33931.0,33931.0,60662418627,1787817,44960,32316.0,33931.0,1399-10-14
93,2021-01-04,35627.0,35627.0,35627.0,35627.0,58262863839,1635357,39114,33931.0,35627.0,1399-10-15
92,2021-01-05,37408.0,37408.0,37408.0,37408.0,63532624960,1698370,55132,35627.0,37408.0,1399-10-16
91,2021-01-06,39278.0,39278.0,39278.0,39278.0,66086256228,1682526,71303,37408.0,39278.0,1399-10-17
90,2021-01-09,41241.0,41241.0,41241.0,41241.0,52735072905,1278705,13921,39278.0,41241.0,1399-10-20
89,2021-01-11,43303.0,43303.0,43303.0,43303.0,80655864679,1862593,47162,41241.0,43303.0,1399-10-22
88,2021-01-12,45468.0,45468.0,45468.0,45468.0,73465875828,1615771,37797,43303.0,45468.0,1399-10-23
87,2021-01-13,47741.0,47741.0,47741.0,47741.0,64963470268,1360748,32898,45468.0,47741.0,1399-10-24
86,2021-01-16,50128.0,50128.0,50126.0,50128.0,1095319135645,21850446,90165,47741.0,50128.0,1399-10-27
85,2021-01-18,50000.0,52634.0,47622.0,51846.0,1419561559361,27380444,200139,50128.0,49500.0,1399-10-29
84,2021-01-19,49254.0,49254.0,49254.0,49254.0,62039944368,1259592,731,51846.0,49254.0,1399-10-30
83,2021-01-20,46792.0,51716.0,46792.0,50139.0,1267884996414,25287439,128673,49254.0,51716.0,1399-11-01
82,2021-01-23,52645.0,52645.0,52645.0,52449.0,48392494835,919223,31504,50139.0,52645.0,1399-11-04
81,2021-01-24,55071.0,55071.0,49827.0,54699.0,719418005887,13152197,45790,52449.0,55071.0,1399-11-05
80,2021-01-25,55690.0,57433.0,54120.0,56931.0,300239096211,5273691,27435,54699.0,57433.0,1399-11-06
79,2021-01-26,59777.0,59777.0,59777.0,58025.0,22918143138,383394,19591,56931.0,59777.0,1399-11-07
78,2021-01-27,60926.0,60926.0,60926.0,58999.0,20391018310,334685,18570,58025.0,60926.0,1399-11-08
77,2021-01-30,61948.0,61948.0,61948.0,60498.0,26683977104,430748,24019,58999.0,61948.0,1399-11-11
76,2021-01-31,63522.0,63522.0,63522.0,61865.0,24342837318,383219,13225,60498.0,63522.0,1399-11-12
75,2021-02-01,64958.0,64958.0,64958.0,63440.0,28033534312,431564,20488,61865.0,64958.0,1399-11-13
74,2021-02-02,66612.0,66612.0,66612.0,64267.0,14726914020,221085,19685,63440.0,66612.0,1399-11-14
73,2021-02-03,67480.0,67480.0,63250.0,67110.0,248444257259,3702069,28613,64267.0,67480.0,1399-11-15
72,2021-02-06,68700.0,68700.0,63755.0,66008.0,290573828997,4402073,5046,67110.0,63755.0,1399-11-18
71,2021-02-07,62708.0,62708.0,62708.0,62708.0,74185131700,1183025,773,66008.0,62708.0,1399-11-19
70,2021-02-08,59573.0,59573.0,59573.0,60581.0,30108611211,505407,296,62708.0,59573.0,1399-11-20
69,2021-02-09,57552.0,57552.0,57552.0,58123.0,34802269920,604710,479,60581.0,57552.0,1399-11-21
68,2021-02-13,56961.0,61610.0,56961.0,60008.0,1156307284635,19269287,82955,58123.0,61610.0,1399-11-25
67,2021-02-14,61788.0,63608.0,60008.0,62989.0,206506370507,3278477,33994,60008.0,63608.0,1399-11-26
66,2021-02-15,66760.0,66768.0,63570.0,65944.0,1080638778670,16387213,41618,62989.0,64000.0,1399-11-27
65,2021-02-16,64626.0,64921.0,64626.0,64626.0,190395115689,2946091,3143,65944.0,64626.0,1399-11-28
64,2021-02-17,63334.0,63334.0,63334.0,63897.0,30734026846,485269,284,64626.0,63334.0,1399-11-29
63,2021-02-20,62620.0,62620.0,62620.0,62979.0,35232454180,562639,176,63897.0,62620.0,1399-12-02
62,2021-02-21,61720.0,61720.0,61720.0,62303.0,25942520720,420326,150,62979.0,61720.0,1399-12-03
61,2021-02-22,61057.0,61057.0,61057.0,61650.0,25035812280,410040,60,62303.0,61057.0,1399-12-04
60,2021-02-23,60417.0,60417.0,60417.0,61626.0,927823869,15357,55,61650.0,60417.0,1399-12-05
59,2021-02-24,60394.0,60394.0,60394.0,61568.0,2243637100,37150,65,61626.0,60394.0,1399-12-06
58,2021-02-27,60337.0,60337.0,60337.0,61528.0,1575157722,26106,31,61568.0,60337.0,1399-12-09
57,2021-02-28,60298.0,60298.0,60298.0,60919.0,24259573744,402328,59,61528.0,60298.0,1399-12-10
56,2021-03-01,59701.0,59701.0,59701.0,60301.0,24617170041,412341,170,60919.0,59701.0,1399-12-11
55,2021-03-02,59095.0,59095.0,59095.0,59663.0,25395544395,429741,111,60301.0,59095.0,1399-12-12
54,2021-03-03,58470.0,58470.0,58470.0,59060.0,23986966680,410244,155,59663.0,58470.0,1399-12-13
53,2021-03-06,57879.0,57879.0,57879.0,58475.0,24279372315,419485,122,59060.0,57879.0,1399-12-16
52,2021-03-07,57306.0,57306.0,57306.0,57915.0,23261422296,405916,79,58475.0,57306.0,1399-12-17
51,2021-03-08,56757.0,56757.0,56757.0,57884.0,1279246023,22539,58,57915.0,56757.0,1399-12-18
50,2021-03-09,56727.0,56727.0,56727.0,57870.0,563979834,9942,39,57884.0,56727.0,1399-12-19
49,2021-03-10,56713.0,56713.0,56713.0,57307.0,23346870571,411667,140,57870.0,56713.0,1399-12-20
48,2021-03-13,56161.0,56161.0,56161.0,56769.0,22989393028,409348,114,57307.0,56161.0,1399-12-23
47,2021-03-14,55634.0,60175.0,55634.0,58845.0,1099212908607,18679799,117576,56769.0,60175.0,1399-12-24
46,2021-03-15,60500.0,62010.0,57669.0,59566.0,495535839476,8319151,44238,58845.0,57669.0,1399-12-25
45,2021-03-16,58375.0,58375.0,58375.0,58920.0,27623458625,473207,145,59566.0,58375.0,1399-12-26
44,2021-03-17,57742.0,57742.0,57742.0,58875.0,1926735056,33368,103,58920.0,57742.0,1399-12-27
43,2021-03-27,57698.0,57698.0,57698.0,58847.0,1170750118,20291,66,58875.0,57698.0,1400-01-07
42,2021-03-28,57671.0,57671.0,57671.0,58782.0,2697272670,46770,53,58847.0,57671.0,1400-01-08
41,2021-03-30,57607.0,57607.0,57607.0,58769.0,522495490,9070,41,58782.0,57607.0,1400-01-10
40,2021-03-31,57594.0,57594.0,57594.0,58758.0,464265234,8061,30,58769.0,57594.0,1400-01-11
39,2021-04-03,57583.0,57583.0,57583.0,58753.0,224055453,3891,27,58758.0,57583.0,1400-01-14
38,2021-04-04,57578.0,57578.0,57578.0,58197.0,23202667284,402978,57,58753.0,57578.0,1400-01-15
37,2021-04-05,57034.0,57034.0,57034.0,57640.0,23232856934,407351,51,58197.0,57034.0,1400-01-16
36,2021-04-06,56488.0,56488.0,56488.0,57090.0,22948362976,406252,59,57640.0,56488.0,1400-01-17
35,2021-04-07,55949.0,55949.0,55949.0,56549.0,22563504363,403287,65,57090.0,55949.0,1400-01-18
34,2021-04-10,55419.0,55419.0,55419.0,56033.0,22375088736,403744,65,56549.0,55419.0,1400-01-21
33,2021-04-11,54913.0,54913.0,54913.0,55510.0,22652546021,412517,43,56033.0,54913.0,1400-01-22
32,2021-04-12,54400.0,54400.0,54400.0,54992.0,22440108800,412502,70,55510.0,54400.0,1400-01-23
31,2021-04-13,53893.0,53893.0,53893.0,54976.0,683039882,12674,36,54992.0,53893.0,1400-01-24
30,2021-04-14,53877.0,53877.0,53877.0,54725.0,10866775392,201696,55,54976.0,53877.0,1400-01-25
29,2021-04-17,53631.0,53631.0,53631.0,54481.0,10908759924,203404,18,54725.0,53631.0,1400-01-28
28,2021-04-18,53392.0,53392.0,53392.0,54299.0,8142653744,152507,34,54481.0,53392.0,1400-01-29
27,2021-04-19,53214.0,53214.0,53214.0,54117.0,8165209374,153441,34,54299.0,53214.0,1400-01-30
26,2021-04-20,53035.0,53035.0,53035.0,53949.0,7518984090,141774,31,54117.0,53035.0,1400-01-31
25,2021-04-21,52331.0,52331.0,52331.0,53937.0,366578655,7005,7,53949.0,52331.0,1400-02-01
24,2021-04-24,52319.0,52319.0,52319.0,53935.0,73037324,1396,4,53937.0,52319.0,1400-02-04
23,2021-04-25,52317.0,52317.0,52317.0,53933.0,56188458,1074,9,53935.0,52317.0,1400-02-05
22,2021-04-26,52316.0,52316.0,52316.0,53931.0,53728532,1027,10,53933.0,52316.0,1400-02-06
21,2021-04-27,52314.0,52314.0,52314.0,53924.0,199525596,3814,18,53931.0,52314.0,1400-02-07
20,2021-04-28,52307.0,52307.0,52307.0,53916.0,233916904,4472,14,53924.0,52307.0,1400-02-08
19,2021-05-01,52299.0,52299.0,52299.0,53914.0,54600156,1044,8,53916.0,52299.0,1400-02-11
18,2021-05-02,52297.0,52297.0,52297.0,53912.0,49420665,945,6,53914.0,52297.0,1400-02-12
17,2021-05-03,52295.0,52295.0,52295.0,53910.0,53706965,1027,6,53912.0,52295.0,1400-02-13
16,2021-05-05,52293.0,52293.0,52293.0,53907.0,82361475,1575,12,53910.0,52293.0,1400-02-15
15,2021-05-08,52290.0,52290.0,52290.0,53905.0,65519370,1253,5,53907.0,52290.0,1400-02-18
14,2021-05-09,52288.0,52288.0,52288.0,53543.0,10860792768,207711,46,53905.0,52288.0,1400-02-19
13,2021-05-10,51937.0,51937.0,51937.0,53537.0,176533863,3399,9,53543.0,51937.0,1400-02-20
12,2021-05-11,51931.0,51931.0,51931.0,53242.0,8860674944,170624,93,53537.0,51931.0,1400-02-21
11,2021-05-18,35100.0,35100.0,33345.0,33596.0,67053770528,1995901,2417,50592.0,33345.0,1400-02-28
10,2021-05-19,31917.0,31917.0,31917.0,33025.0,3215829252,100756,83,33596.0,31917.0,1400-02-29
